"MAT","MAP"
0.75,331
-2.416666667,519
10,876
10.58333333,798
10.58333333,798
10.58333333,798
7.5,1311
9.25,946
9.333333333,955
9.333333333,955
9.333333333,955
4.833333333,1065
9,1156
8.333333333,577
9.166666667,633
16.25,762
6.333333333,743
-3.083333333,295
15.33333333,1216
10.33333333,855
15,1169
15,1169
15,1169
15,1169
3.166666667,403
8.916666667,1078
14.91666667,430
0.333333333,743
1.833333333,620
8,852
14.83333333,633
13.25,696
7.166666667,1509
8.5,1268
8.5,1268
8.5,1268
8.5,1268
16.08333333,918
7.916666667,1272
7,1112
10.5,1133
10,829
5.833333333,1068
NA,NA
NA,NA
NA,NA
16.08333333,920
NA,NA
9.416666667,1308
-3.166666667,516
11.16666667,791
2.166666667,654
2.166666667,654
21.75,1282
-5.083333333,804
8.416666667,547
15.58333333,533
7.25,1716
5.75,569
10.25,684
13.08333333,969
14.33333333,1249
13.66666667,1212
14.33333333,1249
14.33333333,1249
14.33333333,1249
9.416666667,856
10.5,635
NA,NA
NA,NA
7.333333333,387
14.91666667,430
7.25,1357
8.583333333,607
21.91666667,1684
3.5,1092
2.75,605
-0.416666667,1321
8.916666667,1141
8.666666667,1118
8.666666667,1118
12.08333333,567
-9,355
-9.333333333,236
-9.333333333,236
-9.333333333,236
6.416666667,794
6.416666667,794
6.25,822
6.416666667,794
19.25,884
9.25,372
14.66666667,999
22.83333333,197
11.75,1223
11.75,1223
11.75,1223
9.083333333,1048
9.416666667,607
9.416666667,607
